state,ctl00$ddBuyerType,Case_number,Bid_Submission_Deadline,Address,Bed_Bath,Total_Rooms,SQ_Ft,Year,Property_Design,HOA_Fees,List_Date,Listing_Period,Period_Deadline,List_Price,FHA_Financing,203k_Eligible,Bid_Submission_Time_Remaining,Parking,Foundation,basement,stories,lotsize,image,image 2,image 3,image 4,image 5,image file name,image 2 file name,image 3 file name,image 4 file name,image 5 file name,New Time Deadline,Half,Bed,Bath,Price_Halved,Latitude,Longitude,street_number,route,political,administrative_area_level_2,administrative_area_level_1_long,administrative_area_level_1_short,postal_code,country
MD,Good Neighbor Next Door,241-543182,11/3/2017 11:59:59 PM CT,"1909 Eloise Ln Edgewood, MD, 21040 Harford County",4/1.10,8,1208,1975,,$0.00 ,10/28/17,Lottery,11/3/2017 11:59:59 PM CT,48000,IE (Insured Escrow) *,Yes *,1 Days 16 Hours 44 Minutes,None,Basement,Finished,2,1426,C:\scraper\gnnd\fed_files\241-543182FR_56848185.jpg,C:\scraper\gnnd\fed_files\241-543182BA_56848186.jpg,C:\scraper\gnnd\fed_files\241-543182BR_56848187.jpg,C:\scraper\gnnd\fed_files\241-543182KIT_56848194.jpg,C:\scraper\gnnd\fed_files\241-543182LR_56848195.jpg,241-543182FR_56848185.jpg,241-543182BA_56848186.jpg,241-543182BR_56848187.jpg,241-543182KIT_56848194.jpg,241-543182LR_56848195.jpg,11/3/17,24000,4,1.1,"24,000",39.432013,-76.314878,1909,Eloise Lane,Edgewood,Harford County,Maryland,MD,21040,United States
MD,Good Neighbor Next Door,241-817267,11/2/2017 11:59:59 PM CT,"346 Woodland Green Aberdeen, MD, 21001 Harford County",3/2.10,6,1160,1997,,$0.00 ,10/27/17,Lottery,11/2/2017 11:59:59 PM CT,156000,IN (Insured) *,Yes *,0 Days 16 Hours 44 Minutes,None,Basement,Unfinished,2,2500,C:\scraper\gnnd\fed_files\241-817267FR_56828441.jpg,C:\scraper\gnnd\fed_files\241-817267BA_56828442.jpg,C:\scraper\gnnd\fed_files\241-817267BR_56828443.jpg,C:\scraper\gnnd\fed_files\241-817267KIT_56828449.jpg,C:\scraper\gnnd\fed_files\241-817267LR_56828450.jpg,241-817267FR_56828441.jpg,241-817267BA_56828442.jpg,241-817267BR_56828443.jpg,241-817267KIT_56828449.jpg,241-817267LR_56828450.jpg,11/2/17,78000,3,2.1,"78,000",39.512874,-76.184782,346,Woodland Green Court,Aberdeen,Harford County,Maryland,MD,21001,United States
UT,Good Neighbor Next Door,521-886811,11/7/2017 11:59:59 PM CT,"2220 Jackson Avenue Ogden, UT, 84401 Weber County",2/1.00,5,988,1881,,$0.00 ,11/1/17,Lottery,11/7/2017 11:59:59 PM CT,94000,IE (Insured Escrow) *,Yes *,5 Days 16 Hours 43 Minutes,Driveway (1 space),Basement,Partial,1,7425,C:\scraper\gnnd\fed_files\Front_56510801.png,C:\scraper\gnnd\fed_files\BA_56510799.png,C:\scraper\gnnd\fed_files\Kit_56510802.png,C:\scraper\gnnd\fed_files\Kitv2_56510822.png,C:\scraper\gnnd\fed_files\LR_56510823.png,Front_56510801.png,BA_56510799.png,Kit_56510802.png,Kitv2_56510822.png,LR_56510823.png,11/7/17,47000,2,1,"47,000",41.226167,-111.953268,2220,Jackson Avenue,Ogden,Weber County,Utah,UT,84401,United States
VA,Good Neighbor Next Door,544-085618,11/8/2017 11:59:59 PM CT,"3313 Granby St Norfolk, VA, 23504",4/3.10,9,3312,1904,,$0.00 ,11/2/17,Lottery,11/8/2017 11:59:59 PM CT,215000,IE (Insured Escrow) *,Yes *,6 Days 16 Hours 43 Minutes,Driveway (1 space),Basement,Partial,1,5229,C:\scraper\gnnd\fed_files\Front_56889338.png,C:\scraper\gnnd\fed_files\BD_56889342.png,C:\scraper\gnnd\fed_files\Side_Rear_56889339.png,C:\scraper\gnnd\fed_files\FR_56889355.png,C:\scraper\gnnd\fed_files\Kit-Din_56889356.png,Front_56889338.png,BD_56889342.png,Side_Rear_56889339.png,FR_56889355.png,Kit-Din_56889356.png,11/8/17,107500,4,3.1,"107,500",36.877632,-76.2823,3313,Granby Street,Norfolk,,Virginia,VA,23504,United States
TN,Good Neighbor Next Door,483-324753,11/5/2017 11:59:59 PM CT,"1003 Glenview Dr Nashville, TN, 37206 Davidson County",3/2.00,5,1253,2003,,$0.00 ,10/28/17,Lottery,11/5/2017 11:59:59 PM CT,201500,UI (Uninsured),No,3 Days 16 Hours 43 Minutes,None,CrawlSpace,,1,7500,C:\scraper\gnnd\fed_files\front_56873859.jpg,C:\scraper\gnnd\fed_files\kitchen_56873861.jpg,C:\scraper\gnnd\fed_files\rear_56873860.jpg,C:\scraper\gnnd\fed_files\bedroom_2_56873867.jpg,C:\scraper\gnnd\fed_files\bedroom_3_56873868.jpg,front_56873859.jpg,kitchen_56873861.jpg,rear_56873860.jpg,bedroom_2_56873867.jpg,bedroom_3_56873868.jpg,11/5/17,100750,3,2,"100,750",36.164625,-86.752896,1003,Glenview Drive,Nashville,Davidson County,Tennessee,TN,37206,United States
MD,Good Neighbor Next Door,241-795742,11/2/2017 11:59:59 PM CT,"1005 Lyndhurst Stre Baltimore, MD, 21229 Baltimore City County",3/1.00,6,1200,1944,,$0.00 ,10/27/17,Lottery,11/2/2017 11:59:59 PM CT,39000,IE (Insured Escrow) *,Yes *,0 Days 16 Hours 44 Minutes,None,Basement,Unfinished,2,1600,C:\scraper\gnnd\fed_files\241-795742FR_56829733.jpg,C:\scraper\gnnd\fed_files\241-795742BA_56829734.jpg,C:\scraper\gnnd\fed_files\241-795742BR_56829735.jpg,C:\scraper\gnnd\fed_files\241-795742KIT_56829743.jpg,C:\scraper\gnnd\fed_files\241-795742LR_56829744.jpg,241-795742FR_56829733.jpg,241-795742BA_56829734.jpg,241-795742BR_56829735.jpg,241-795742KIT_56829743.jpg,241-795742LR_56829744.jpg,11/2/17,19500,3,1,"19,500",39.298855,-76.681238,1005,Lyndhurst Street,Baltimore,,Maryland,MD,21229,United States
TX,Good Neighbor Next Door,492-773881,11/8/2017 11:59:59 PM CT,"1606 Bland Street Wichita Falls, TX, 76302 Wichita County",3/2.00,8,1719,1951,,$0.00 ,11/2/17,Lottery,11/8/2017 11:59:59 PM CT,57000,IE (Insured Escrow) *,Yes *,6 Days 16 Hours 43 Minutes,Carport (1 space),CrawlSpace,,1,7000,C:\scraper\gnnd\fed_files\Front_56838007.png,C:\scraper\gnnd\fed_files\BA_56838009.png,C:\scraper\gnnd\fed_files\Bresk-kit_56838011.png,C:\scraper\gnnd\fed_files\DIN_56838025.png,C:\scraper\gnnd\fed_files\LR_56838026.png,Front_56838007.png,BA_56838009.png,Bresk-kit_56838011.png,DIN_56838025.png,LR_56838026.png,11/8/17,28500,3,2,"28,500",33.878204,-98.496916,1606,Bland Street,Wichita Falls,Wichita County,Texas,TX,76302,United States
OK,Good Neighbor Next Door,405-017202,11/2/2017 11:59:59 PM CT,"409 S 3rd Ave Warner, OK, 74469 Muskogee County",3/2.00,5,1484,1999,,$0.00 ,10/27/17,Lottery,11/2/2017 11:59:59 PM CT,31000,IN (Insured) *,Yes *,0 Days 16 Hours 44 Minutes,Driveway (1 space),CrawlSpace,,1,14000,C:\scraper\gnnd\fed_files\NoImageFound.jpg,,,,,NoImageFound.jpg,#VALUE!,#VALUE!,#VALUE!,#VALUE!,11/2/17,15500,3,2,"15,500",35.491753,-95.321558,409,Aggie Drive,Warner,Muskogee County,Oklahoma,OK,74469,United States
MD,Good Neighbor Next Door,249-546860,11/3/2017 11:59:59 PM CT,"1321 A Karen Blvd Unit 202 Capitol Heights, MD, 20743 Prince Georges County",2/2.00,5,1186,2008,,$0.00 ,10/28/17,Lottery,11/3/2017 11:59:59 PM CT,110000,IN (Insured) *,Yes *,1 Days 16 Hours 44 Minutes,Driveway (1 space),Slab,,4,0,C:\scraper\gnnd\fed_files\249-546860FR_56844282.jpg,C:\scraper\gnnd\fed_files\249-546860BA_56844283.jpg,C:\scraper\gnnd\fed_files\249-546860BR_56844284.jpg,C:\scraper\gnnd\fed_files\249-546860KIT_56844294.jpg,C:\scraper\gnnd\fed_files\249-546860LR_56844295.jpg,249-546860FR_56844282.jpg,249-546860BA_56844283.jpg,249-546860BR_56844284.jpg,249-546860KIT_56844294.jpg,249-546860LR_56844295.jpg,11/3/17,55000,2,2,"55,000",38.871538,-76.889071,1321,Karen Boulevard,Capitol Heights,Prince George's County,Maryland,MD,20743,United States
MD,Good Neighbor Next Door,241-808547,11/7/2017 11:59:59 PM CT,"4215 Crawford Ave Baltimore, MD, 21215 Baltimore City County",3/1.10,6,1216,1953,,$0.00 ,11/1/17,Lottery,11/7/2017 11:59:59 PM CT,65000,IE (Insured Escrow) *,Yes *,5 Days 16 Hours 44 Minutes,None,Basement,Finished,2,4000,C:\scraper\gnnd\fed_files\Front_56890979.png,C:\scraper\gnnd\fed_files\BA_56890980.png,C:\scraper\gnnd\fed_files\BAs_56890983.png,C:\scraper\gnnd\fed_files\BD_56890997.png,C:\scraper\gnnd\fed_files\Kit_56890998.png,Front_56890979.png,BA_56890980.png,BAs_56890983.png,BD_56890997.png,Kit_56890998.png,11/7/17,32500,3,1.1,"32,500",39.342069,-76.702786,4215,Crawford Avenue,Baltimore,,Maryland,MD,21215,United States
